,dataset,subsample_n,method,val_nll,val_accuracy,test_nll,test_accuracy,data_seed
43,cc18_15,-1,ag-bagging,0.0093939965508567,1.0,0.0099421609109299,1.0,6
44,cc18_13,-1,ag-bagging,0.7767363197380843,0.7142857142857143,0.652046603790328,0.7432432432432432,7
45,cc18_29,-1,ag-bagging,0.5509005969733196,0.6410256410256411,0.572821422236048,0.6581196581196581,5
46,cc18_4,-1,ag-bagging,0.0970355014866134,1.0,0.1052087598104901,0.9975,6
47,cc18_7,-1,ag-bagging,0.124617288346816,0.9444444444444444,0.1656923268640236,0.9166666666666666,13
48,cc18_18,-1,ag-bagging,8.649477096427653e-05,1.0,0.0024022036311091,1.0,13
49,cc18_20,-1,ag-bagging,0.501375592234863,0.7402597402597403,0.4805889791024615,0.7402597402597403,11
50,cc18_26,-1,ag-bagging,0.4769170587610212,0.7751479289940828,0.5086479606328964,0.7529411764705882,5
51,cc18_21,-1,ag-bagging,0.2045122705261455,0.9006849315068494,0.1923649430461584,0.9006849315068494,6
52,cc18_16,-1,ag-bagging,0.1073347905762959,0.9637681159420288,0.1232206540881424,0.9637681159420288,11
53,cc18_20,-1,ag-bagging,0.4658450837217647,0.7727272727272727,0.4617899518138249,0.7532467532467533,8
54,cc18_19,-1,ag-bagging,0.0123697407806048,0.99375,0.0153242984836621,0.99375,7
55,cc18_3,-1,ag-bagging,0.5947534437391918,0.72,0.6659212311057188,0.61,6
56,cc18_1,-1,ag-bagging,0.468254686952713,0.8066666666666666,0.4386041156967606,0.7666666666666667,5
57,cc18_26,-1,ag-bagging,0.4232710501569511,0.7928994082840237,0.4287602708609275,0.7588235294117647,6
58,cc18_2,-1,ag-bagging,0.083061489705216,0.976,0.0849784719293635,0.968,12
59,cc18_5,-1,ag-bagging,0.0005395879438239,1.0,0.0062344270632537,1.0,9
60,cc18_16,-1,ag-bagging,0.1377995029759603,0.9492753623188406,0.1112500286776959,0.9637681159420288,10
61,cc18_12,-1,ag-bagging,0.0069441502969303,1.0,0.0189279510953054,0.9925,6
62,cc18_2,-1,ag-bagging,0.0459436986821704,0.976,0.0591186603439067,0.968,7
63,cc18_23,-1,ag-bagging,0.0417943366083826,0.9904761904761904,0.0223652838098828,1.0,13
64,cc18_10,-1,ag-bagging,0.0626031618600092,0.9857142857142858,0.107358523707804,0.9642857142857144,6
65,cc18_28,-1,ag-bagging,0.0261521738066989,1.0,0.0343658160789658,1.0,13
66,cc18_6,-1,ag-bagging,0.0004830203640941,1.0,0.0059396237863349,1.0,9
67,cc18_9,-1,ag-bagging,0.3681298118381104,0.8425925925925926,0.4564286259952662,0.7870370370370371,7
68,cc18_2,-1,ag-bagging,0.0352710078004614,0.984,0.1851163674466885,0.936,11
69,cc18_0,-1,ag-bagging,7.843400695096024e-07,1.0,0.0027052518130036,1.0,12
70,cc18_18,-1,ag-bagging,0.0002378919713424,1.0,0.0007345798703019,1.0,6
71,cc18_1,-1,ag-bagging,0.4548591454787974,0.7866666666666666,0.4371314419995794,0.7733333333333333,9
72,cc18_28,-1,ag-bagging,0.0008094471293331,1.0,0.0084080359769644,1.0,8
73,cc18_6,-1,ag-bagging,0.0482118445208254,1.0,0.0504605748479403,1.0,10
74,cc18_7,-1,ag-bagging,0.1186530952103326,0.9444444444444444,0.0574578673020283,0.9907407407407408,9
75,cc18_24,-1,ag-bagging,0.0004634631069261,1.0,0.0172401803060419,0.9954954954954957,13
76,cc18_14,-1,ag-bagging,0.0487555612015938,1.0,0.0502178464557888,1.0,7
77,cc18_0,-1,ag-bagging,4.178631020498813e-05,1.0,0.0001450842513635,1.0,8
78,cc18_7,-1,ag-bagging,0.144333366411795,0.9351851851851852,0.1325939158169479,0.9444444444444444,7
79,cc18_5,-1,ag-bagging,0.0005544325252805,1.0,0.0009604075007629,1.0,10
80,cc18_17,-1,ag-bagging,0.4858964220875931,0.775,0.5058761877450327,0.765,8
81,cc18_6,-1,ag-bagging,0.012027887321788,0.9974226804123713,0.0123839334345482,0.9948586118251928,12
82,cc18_12,-1,ag-bagging,0.0060046275018693,0.9975,0.0136595669789542,0.9925,11
83,cc18_3,-1,ag-bagging,0.6276715680302167,0.66,0.6583258078837515,0.59,7
84,cc18_2,-1,ag-bagging,0.0269082521706695,1.0,0.1640999149957786,0.936,9
85,cc18_9,-1,ag-bagging,0.3120234634815037,0.8796296296296297,0.3551567788382775,0.8611111111111112,14
86,cc18_19,-1,ag-bagging,0.0135429806494451,1.0,0.0098658071137899,1.0,5
87,cc18_29,-1,ag-bagging,0.4751971557065351,0.717948717948718,0.5116118460391732,0.7008547008547008,10
88,cc18_23,-1,ag-bagging,0.0402421969826728,0.9904761904761904,0.0188874778065163,0.9904761904761904,10
